Report ID,Arrest Date,Age,Sex Code
6737874,1/5/2024,36,M
6738405,1/6/2024,19,M
240200744,7/9/2024,39,M
6737702,1/5/2024,36,M
6737712,1/5/2024,37,M
6736402,1/3/2024,27,M
241104157,1/3/2024,35,M
6737442,1/5/2024,23,M
240104176,1/3/2024,36,F
6736685,1/3/2024,29,M
240104279,1/4/2024,45,M
6736709,1/4/2024,49,M
6738003,1/6/2024,41,M
6735516,1/1/2024,54,M
241504064,1/1/2024,32,M
241304132,1/3/2024,65,M
6735689,1/1/2024,38,M
6735630,1/1/2024,33,M
241604106,1/4/2024,49,F
6736485,1/3/2024,35,M
6737101,1/4/2024,24,M
241204314,1/5/2024,18,F
241604113,1/4/2024,54,M
240104183,1/2/2024,42,M
240104275,1/4/2024,21,M
6737269,1/4/2024,45,M
6736265,1/2/2024,30,M
6735517,1/1/2024,31,M
6737263,1/4/2024,52,M
6737807,1/5/2024,39,M
241804282,1/5/2024,28,F
241204313,1/5/2024,21,F
241804227,1/4/2024,29,M
6738002,1/6/2024,19,F
241304133,1/3/2024,35,M
6736403,1/3/2024,34,M
241804242,1/4/2024,37,M
6735604,1/1/2024,31,M
241000510,1/6/2024,35,F
240104092,1/2/2024,49,M
6737870,1/5/2024,20,M
241604110,1/4/2024,28,M
240204343,1/5/2024,37,M
240104349,1/4/2024,35,F
241604117,1/4/2024,46,F
6737847,1/5/2024,41,M
6737926,1/5/2024,21,F
241904148,1/4/2024,21,F
6736658,1/3/2024,65,M
240104327,1/4/2024,33,M
6736528,1/3/2024,31,M
241804225,1/4/2024,29,M
6737905,1/5/2024,34,M
240204256,1/3/2024,55,M
240109198,3/17/2024,58,M
6737985,1/6/2024,38,F
240104022,1/1/2024,24,M
240304331,1/5/2024,36,M
6736213,1/2/2024,35,M
6735531,1/1/2024,30,M
6736298,1/3/2024,34,M
6737966,1/6/2024,46,M
241104158,1/3/2024,33,M
6737257,1/4/2024,34,M
240114463,7/12/2024,62,M
6735801,1/2/2024,37,M
6738384,1/6/2024,22,M
6738428,1/6/2024,27,F
241804243,1/4/2024,50,M
6736150,1/2/2024,30,M
6737862,1/5/2024,27,M
6735538,1/1/2024,30,M
6738402,1/6/2024,31,M
241104219,1/6/2024,44,F
6735558,1/1/2024,37,M
6736328,1/3/2024,45,M
241704270,1/4/2024,50,M
6737831,1/5/2024,52,M
240104343,1/4/2024,27,M
6790741,4/11/2024,64,M
6738429,1/6/2024,32,F
6735638,1/1/2024,53,M
6737041,1/4/2024,42,M
6735552,1/1/2024,23,M
6736316,1/3/2024,50,F
6737401,1/5/2024,30,M
6736628,1/3/2024,49,M
6737938,1/5/2024,30,F
240204344,1/5/2024,28,M
6737855,1/5/2024,18,M
242004225,1/5/2024,33,F
6737286,1/4/2024,38,M
6735521,1/1/2024,29,F
6736452,1/3/2024,40,M
6736464,1/3/2024,20,M
6738370,1/6/2024,23,M
6736258,1/2/2024,47,M
6738367,1/6/2024,27,F
240117122,8/18/2024,38,M
6738054,1/6/2024,33,M
6737287,1/4/2024,29,M
6736947,1/4/2024,28,M
6736648,1/3/2024,38,M
6735502,1/1/2024,23,M
6735564,1/1/2024,30,M
6737275,1/4/2024,23,M
240104260,1/4/2024,29,M
241504142,1/3/2024,35,M
6737923,1/5/2024,46,M
6737386,1/5/2024,40,F
6735611,1/1/2024,26,M
6737930,1/5/2024,37,M
6738291,1/6/2024,18,M
241204318,1/5/2024,23,F
6737925,1/5/2024,49,F
6736646,1/3/2024,43,F
6737737,1/5/2024,59,M
6736655,1/3/2024,36,M
6738342,1/6/2024,7,F
241104145,1/4/2024,45,M
6735536,1/1/2024,37,M
241704269,1/4/2024,54,F
6736273,1/2/2024,41,M
240204107,1/3/2024,34,M
6738461,1/6/2024,22,M
6735230,1/1/2024,64,M
240104264,1/4/2024,49,M
241204321,1/5/2024,22,F
6738406,1/6/2024,30,M
240104400,1/5/2024,36,M
6737149,1/4/2024,8,M
6736224,1/2/2024,28,M
6737459,1/5/2024,35,M
6737028,1/4/2024,13,M
6738355,1/6/2024,27,M
6736304,1/3/2024,32,M
6736594,1/3/2024,25,M
6736299,1/3/2024,46,M
6737292,1/4/2024,29,M
241104144,1/3/2024,31,F
6735631,1/1/2024,58,M
6737181,1/4/2024,34,F
6737078,1/4/2024,1,F
6736128,1/2/2024,52,M
6736642,1/3/2024,46,M
241104160,1/3/2024,47,M
241804238,1/4/2024,44,M
241604115,1/4/2024,61,M
6737976,1/6/2024,25,M
6735643,1/1/2024,34,M
6736269,1/2/2024,29,M
6735648,1/1/2024,51,M
241204319,1/5/2024,22,F
6736185,1/2/2024,16,M
6737388,1/5/2024,28,M
240604208,1/4/2024,42,M
6736483,1/3/2024,42,M
6738043,1/6/2024,30,M
242004230,1/5/2024,24,F
6737195,1/4/2024,40,M
6736670,1/3/2024,26,M
6737474,1/4/2024,29,F
6736972,1/4/2024,16,M
240204348,1/5/2024,68,M
6735474,1/1/2024,22,M
240104266,1/4/2024,38,M
240114254,7/8/2024,35,M
6735685,1/1/2024,45,M
241604044,1/2/2024,41,M
6738332,1/6/2024,40,M
6736550,1/3/2024,33,M
6737152,1/4/2024,30,F
240804209,1/5/2024,33,M
6735651,1/1/2024,36,M
6737037,1/4/2024,53,M
241804239,1/4/2024,23,M
6736187,1/2/2024,50,M
6736372,1/3/2024,27,M
6736194,1/2/2024,21,F
6737305,1/4/2024,31,M
6735728,1/2/2024,27,M
240104325,1/3/2024,21,M
6737072,1/4/2024,38,M
6736448,1/3/2024,37,F
6735241,1/1/2024,41,F
6736533,1/3/2024,42,M
6735571,1/1/2024,42,M
6735512,1/1/2024,27,M
6737950,1/5/2024,64,F
6737306,1/4/2024,41,M
6735719,1/1/2024,39,M
6737948,1/5/2024,51,M
241804280,1/5/2024,27,F
240104402,1/6/2024,53,M
6735621,1/1/2024,41,M
